ID,STATION,REGION
560,Natoye,Wallonie
561,Neerpelt,Vlaanderen
562,Neerwinden,Vlaanderen
563,Nessonvaux,Wallonie
564,Neufchateau,Unknown region
565,Neufvilles,Wallonie
566,Neufvilles-Garage,Unknown region
567,Niel,Vlaanderen
568,Nieuwkerken-Waas,Vlaanderen
569,Nijlen,Vlaanderen
570,Nimy,Wallonie
571,Ninove,Vlaanderen
572,Ninove-Wijkspoor,Unknown region
573,Nivelles,Wallonie
574,Noorderkempen,Vlaanderen
575,Nossegem,Vlaanderen
576,Obaix-Buzet,Wallonie
577,Obourg,Wallonie
578,Obourg-Marchandises,Unknown region
579,Okegem,Vlaanderen
580,Olen,Vlaanderen
581,Olen-Sas,Unknown region
582,Olne,Wallonie
583,Oostende,Vlaanderen
584,Oostende-Bundel A,Vlaanderen
585,Oostende-Bundel B,Vlaanderen
586,Oostende-Perron T.O.P.,Unknown region
587,Oostende-T.W.,Vlaanderen
588,Oostende-Zeehaven,Unknown region
589,Oostkamp,Vlaanderen
590,Opwijk,Vlaanderen
591,Ottignies,Wallonie
592,Ottignies-Relais,Unknown region
593,Oud-Heverlee,Vlaanderen
594,Oudegem,Vlaanderen
595,Oudenaarde,Vlaanderen
596,Ougree,Wallonie
597,Overpelt,Vlaanderen
598,Paliseul,Wallonie
599,Papignies,Wallonie
600,Paris-Nord,Unknown region
601,Pecrot,Wallonie
602,Pepinster,Wallonie
603,Pepinster-Cite,Wallonie
604,Peruwelz,Wallonie
605,Philippeville,Unknown region
606,Philippeville-642,Wallonie
607,Pieton,Unknown region
608,Poix-Saint-Hubert,Wallonie
609,Pont-A-Celles,Wallonie
610,Pont-De-Seraing,Wallonie
611,Poperinge,Vlaanderen
612,Poulseur,Wallonie
613,Praha Hl.N.,Unknown region
614,Profondsart,Wallonie
615,Pry,Unknown region
616,Puurs,Vlaanderen
617,Quaregnon,Wallonie
618,Quevy,Wallonie
619,Quevy-Frontiere,Unknown region
620,Quievrain,Wallonie
621,Rebaix,Wallonie
622,Remicourt,Unknown region
623,Rhisnes,Wallonie
624,Rhisnes-Garage,Unknown region
625,Rhisnes-Sas,Unknown region
626,Rivage,Wallonie
627,Rivage-Marchandises,Unknown region
628,Rixensart,Wallonie
629,Rochefort-Jemelle,Wallonie
630,Rodange,Unknown region
631,Roeselare,Vlaanderen
632,Ronet,Wallonie
633,Ronet-Formation,Unknown region
634,Ronet-P.E.,Unknown region
635,Ronse,Vlaanderen
636,Roosendaal,Unknown region
637,Rotterdam Centraal,Unknown region
638,Roux,Wallonie
639,Ruisbroek,Vlaanderen
640,Ruisbroek-Bundel,Unknown region
641,Ruisbroek-Sauvegarde,Vlaanderen
642,Saint-Denis-Bovesse,Wallonie
643,Saint-Ghislain,Wallonie
644,Saint-Vincent-Bellefontaine,Wallonie
645,Sart-Bernard,Wallonie
646,Schaarbeek,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
647,Schaarbeek-Bundel L,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
648,Schaarbeek-Bundel M,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
649,Schaarbeek-Bundel P,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
650,Schaarbeek-Bundel V,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
651,Schaarbeek-Carwash,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
652,Schaarbeek-D.O.P.,Unknown region
653,Schaarbeek-Doodspoor 814,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
654,Schaarbeek-Groep G,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
655,Schaarbeek-Groep R,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
656,Schaarbeek-Josaphat,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
657,Schaarbeek-L.C.I.,Unknown region
658,Schaarbeek-Nos,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
659,Schaarbeek-P.C.I.,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
660,Schaarbeek-Perron P.C.I.,Unknown region
661,Schaarbeek-Perron T.W./D.-Nos,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
662,Schaarbeek-Perron T.W./D.-Zos,Unknown region
663,Schaarbeek-Perron Vorming,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
664,Schaarbeek-Sas K/C,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
665,Schaarbeek-Spoor Lz,Unknown region
666,Schaarbeek-T.W./D.,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
667,Schaarbeek-T.W./E.,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
668,Schaarbeek-Vorming,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
669,Schaarbeek-Wasinstallatie,Unknown region
670,Scheldewindeke,Vlaanderen
671,Schelle,Vlaanderen
672,Schellebelle,Vlaanderen
673,Schendelbeke,Vlaanderen
674,Schoonaarde,Vlaanderen
675,Schulen,Vlaanderen
676,Schulen-Sas,Unknown region
677,Schulen-Wijkspoor,Unknown region
678,Sclaigneaux,Wallonie
679,Sclessin,Wallonie
680,Seraing,Wallonie
681,Serskamp,Vlaanderen
682,Silly,Wallonie
683,Simonis,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
684,Sinaai,Vlaanderen
685,Sint-Agatha-Berchem,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
686,Sint-Denijs-Boekel,Vlaanderen
687,Sint-Genesius-Rode,Vlaanderen
688,Sint-Gillis(Dendermonde),Vlaanderen
689,Sint-Job,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
690,Sint-Joris-Weert,Vlaanderen
691,Sint-Katelijne-Waver,Vlaanderen
692,Sint-Mariaburg,Vlaanderen
693,Sint-Martens-Bodegem,Vlaanderen
694,Sint-Niklaas,Vlaanderen
695,Sint-Niklaas-Oost,Vlaanderen
696,Sint-Truiden,Vlaanderen
697,Sleidinge,Vlaanderen
698,Soignies,Wallonie
699,Solre-Sur-Sambre,Wallonie
700,Spa,Wallonie
701,Spa-Geronstere,Wallonie
702,Stabroek-Sporen 027/028,Unknown region
703,Statte,Unknown region
704,Stockem,Unknown region
705,Stockem-A.T.,Wallonie
706,Stockem-Faisceau A,Unknown region
707,Stoumont,Wallonie
708,Strasbourg-Ville,Unknown region
709,Sy,Unknown region
710,Tamines,Wallonie
711,Temse,Vlaanderen
712,Terhagen,Vlaanderen
713,Ternat,Unknown region
714,Tertre,Wallonie
715,Testelt,Vlaanderen
716,Theux,Wallonie
717,Thieu,Wallonie
718,Thuin,Wallonie
719,Thulin,Wallonie
